City,Location,BHK,Area_sqft,Bathrooms,Age,Price_Lakh
Jaipur,Vaishali Nagar,1,710,1,4,36.04
Mumbai,Andheri,2,1090,1,17,167.6
Noida,Sector 62,3,880,3,10,88.49
Pune,Wakad,3,1670,3,17,107.65
Kochi,Vyttila,3,1540,2,21,62.89
Mohali,Sector 88,3,1130,3,11,87.06
Bengaluru,Yelahanka,3,890,3,8,118.51
Noida,Sector 62,2,640,2,12,59.13
Jaipur,Jagatpura,2,1470,2,4,77.42
Kochi,Thrippunithura,2,820,2,16,43.55
Jaipur,Jagatpura,3,1160,4,14,90.07
Jaipur,C-Scheme,3,1620,3,3,92.77
Kolkata,Salt Lake,3,820,3,20,78.07
Kochi,Thrippunithura,4,1660,4,0,113.39
Chandigarh,Sector 48,4,900,4,2,147.77
Bengaluru,HSR Layout,3,1420,3,17,129.51
Pune,Kharadi,4,1440,4,7,107.38
Lucknow,Gomti Nagar,2,1460,2,2,80.31
Kochi,Thrippunithura,3,980,3,25,53.48
Gurgaon,Sohna Road,3,1880,2,1,157.73
Chennai,Adyar,2,870,2,2,89.99
Gurgaon,Sohna Road,5,2470,5,5,207.09
Mumbai,Powai,2,1350,2,9,192.04
Bengaluru,Electronic City,2,1520,3,23,99.57
Gurgaon,MG Road,2,1510,1,5,136.73
Ahmedabad,Bopal,3,740,2,13,75.62
Pune,Baner,2,730,2,14,74.52
Delhi,Dwarka,3,1300,3,11,165.57
Lucknow,Indira Nagar,3,1880,4,0,127.5
Mohali,Sector 70,4,1870,4,8,125.23
Kolkata,Rajarhat,2,1460,1,2,85.55
Mohali,Sector 80,3,1360,3,17,78.06
Gurgaon,Sector 57,3,870,3,1,145.32
Chandigarh,Sector 22,3,1120,4,13,131.53
Noida,Sector 137,4,810,4,25,80.58
Noida,Sector 62,2,650,2,7,74.56
Chandigarh,Sector 34,3,1170,3,2,150.32
Kolkata,Behala,4,940,4,5,100.21
Noida,Sector 150,3,1880,2,12,121.97
Noida,Sector 78,3,1830,3,11,127.28
Delhi,Saket,3,1500,3,12,153.71
Lucknow,Aliganj,3,1050,4,0,78.9
Chennai,Tambaram,3,1310,3,21,93.05
Noida,Sector 137,3,960,3,4,84.7
Hyderabad,Kukatpally,2,1260,2,12,89.27
Delhi,Vasant Kunj,2,1370,3,14,143.81
Jaipur,C-Scheme,5,1890,5,19,125.13
Bengaluru,Indiranagar,3,1600,3,24,124.18
Chandigarh,Sector 35,2,1450,1,4,120.17
Pune,Viman Nagar,3,770,3,12,88.99
Hyderabad,Miyapur,1,770,1,13,54.11
Mohali,Sector 88,3,1160,3,23,55.26
Hyderabad,Kukatpally,3,720,3,4,91.02
Pune,Kharadi,2,1500,2,8,118.03
Chandigarh,Sector 34,3,1480,2,7,134.92
Ahmedabad,Bopal,3,1000,3,5,90.22
